epoch,c1_accuracy,c1_loss,c2_accuracy,c2_loss,c3_accuracy,c3_loss,c4_accuracy,c4_loss,loss,val_c1_accuracy,val_c1_loss,val_c2_accuracy,val_c2_loss,val_c3_accuracy,val_c3_loss,val_c4_accuracy,val_c4_loss,val_loss
0,0.982,0.060129624,0.969,0.097849734,0.976,0.09252943,0.982,0.058624454,0.3106673002243042,0.35,8.235811,0.29,12.038828,0.23,11.705232,0.38,7.599872,44.24336868286133
1,0.993,0.02318708,0.986,0.035125762,0.989,0.041736748,0.992,0.0199051,0.11882612016797066,0.66,2.457972,0.71,2.842972,0.69,2.583433,0.72,2.2568028,12.524247922897338
2,0.997,0.0100504095,0.99,0.03137332,0.991,0.018432869,0.991,0.014582374,0.07535568967461587,0.95,0.16521175,0.94,0.21982302,0.93,0.18174829,0.95,0.38870415,1.2216844924725592
3,0.997,0.00756317,0.998,0.015229399,0.997,0.013097179,0.996,0.008382174,0.04452657580375671,0.97,0.058487706,0.97,0.077297576,0.99,0.039607327,0.98,0.03268239,0.2658460795553401
4,0.997,0.008311171,0.998,0.0135667855,1.0,0.0047214865,0.999,0.0045525464,0.030474333196878433,0.9,0.31443354,0.87,0.51852113,0.89,0.45616686,0.94,0.5675596,2.3587965989112853
5,1.0,0.003187939,0.999,0.0056210267,0.999,0.004917575,0.998,0.0070870486,0.021258834663778543,0.97,0.062084228,0.96,0.08240186,0.99,0.048373874,0.98,0.036183055,0.2928018550854176
6,0.999,0.00357895,1.0,0.005343147,0.999,0.004916497,0.998,0.0065679094,0.020352285504341126,0.97,0.06339991,0.96,0.07382049,0.99,0.04481483,0.98,0.034308426,0.27645173294004055
0,0.971,0.120406725,0.961,0.15709074,0.968,0.1199304,0.971,0.14250247,0.5082353475689888,0.99,0.038079273,0.98,0.0430852,0.95,0.07467481,0.99,0.015910521,0.21980714160134085
1,0.979,0.07405629,0.968,0.12217819,0.984,0.046085995,0.981,0.07471916,0.3238921847045422,0.99,0.03599304,0.97,0.051440716,0.95,0.0763062,0.99,0.013844785,0.2272818120889133
2,0.985,0.044323765,0.98,0.0672949,0.982,0.048509676,0.984,0.08560975,0.22434112703800202,0.99,0.036826707,0.99,0.03294441,0.95,0.07254156,0.99,0.010064067,0.19499341859132982
3,0.987,0.03819829,0.981,0.045171835,0.988,0.039679237,0.987,0.038522486,0.16174173057079316,0.98,0.045413498,0.97,0.040950388,0.95,0.07243865,0.99,0.010494952,0.2166509004944237
4,0.991,0.023029175,0.983,0.05046085,0.993,0.020959506,0.989,0.025200851,0.12224913120269776,0.99,0.037382983,0.98,0.036248736,0.94,0.079131275,1.0,0.008685693,0.20659092120302375
5,0.997,0.012090638,0.993,0.023104258,0.994,0.016186066,0.991,0.023687912,0.07674340315163136,0.99,0.04046034,0.98,0.032132745,0.94,0.08878198,0.99,0.0092161065,0.21828501475625672
0,0.978,0.0727179,0.965,0.12566838,0.964,0.110626094,0.983,0.067210905,0.3828303691148758,1.0,0.0053336266,0.98,0.051738925,0.99,0.058745332,0.99,0.015286885,0.16551140792667865
1,0.982,0.037023917,0.976,0.06940083,0.976,0.06825416,0.987,0.048001714,0.22347591388225554,0.99,0.0075225807,0.97,0.05584865,0.99,0.059844323,0.99,0.014036431,0.17491965799592435
2,0.989,0.02782664,0.987,0.03589193,0.986,0.03322045,0.985,0.051150452,0.14608527797460555,0.99,0.007171412,0.97,0.06226842,0.99,0.054701753,1.0,0.012213578,0.17356337269768118
3,0.994,0.015808601,0.991,0.028498163,0.99,0.03565998,0.992,0.024962071,0.10741961321420967,0.99,0.012140406,0.98,0.05122549,0.99,0.05056564,0.99,0.015500481,0.16270562380552292
4,0.996,0.0126311425,0.992,0.027117455,0.994,0.0138632525,0.995,0.01375499,0.06884492659568786,0.99,0.020304425,0.99,0.046468846,0.99,0.04966605,0.99,0.018796686,0.16261548176407814
5,0.997,0.013260471,0.993,0.01788081,0.996,0.011642188,0.997,0.011600588,0.05528973506391049,0.99,0.010944214,0.99,0.046105087,0.99,0.050966643,1.0,0.013402137,0.1504118537902832
6,0.997,0.011171048,0.998,0.012960376,0.998,0.0080186585,0.997,0.008108267,0.04110913484171033,0.99,0.016919484,0.98,0.043846376,0.99,0.049972955,1.0,0.012541514,0.1470683328807354
7,0.997,0.00910582,0.995,0.015838705,0.998,0.007700787,1.0,0.003269609,0.036538953602313996,1.0,0.006326954,0.98,0.040953368,0.99,0.057286635,0.99,0.012896207,0.14636116746813058
8,0.996,0.0112399785,0.996,0.012232239,0.995,0.012941145,0.997,0.007485346,0.04457004502415657,1.0,0.005255722,0.98,0.044359732,0.99,0.059833582,0.99,0.014373068,0.1548297306522727
9,1.0,0.0028032854,0.998,0.008618097,0.997,0.01035347,0.998,0.0051548574,0.027309166103601457,1.0,0.0035862278,0.98,0.043927535,0.99,0.060979467,1.0,0.012880526,0.1536908753030002
10,0.998,0.0039256155,1.0,0.008069236,0.997,0.007126984,0.999,0.005068882,0.023553780570626258,0.99,0.009122547,0.98,0.04278666,0.99,0.05208494,1.0,0.012480139,0.14535882156342267
11,1.0,0.0033276218,1.0,0.004841646,0.998,0.008806592,1.0,0.0022211454,0.019276197627186777,1.0,0.00997407,0.98,0.044338606,0.99,0.052615177,1.0,0.011275079,0.14600830838084222
12,0.998,0.0054159365,0.996,0.0103678,0.999,0.0058056912,0.999,0.0034847374,0.02561934349872172,0.99,0.012802184,0.98,0.042410254,0.99,0.055377577,1.0,0.012002891,0.1509727942943573
13,1.0,0.0036338246,1.0,0.004757659,0.998,0.008464911,1.0,0.003051103,0.01922258572280407,0.99,0.014413884,0.98,0.04005613,0.99,0.054026134,1.0,0.012137281,0.1476731847971678
0,0.981,0.07449809,0.97,0.09943157,0.971,0.08635453,0.983,0.05670501,0.3231707926988602,0.99,0.019773101,0.97,0.14124101,0.97,0.12420294,0.97,0.07745356,0.4203784662485123
1,0.991,0.034552127,0.974,0.0741251,0.982,0.058111787,0.983,0.047619645,0.20188934910297393,0.99,0.010463412,0.98,0.094888516,0.97,0.11619886,0.97,0.061276887,0.3540702529996633
2,0.993,0.023955256,0.991,0.024965856,0.991,0.025693562,0.988,0.02578707,0.101233821362257,0.99,0.01049511,0.97,0.08975166,0.98,0.09995066,0.97,0.06415626,0.3351411337032914
3,0.995,0.012989562,0.996,0.013646029,0.992,0.016749816,0.995,0.011167254,0.05447922706604004,0.99,0.018363426,0.98,0.08717836,0.97,0.11840039,0.97,0.06939762,0.36988106966018675
4,0.998,0.0048303786,0.998,0.015921794,0.994,0.022297017,0.997,0.006180098,0.04943326638638973,0.99,0.013522789,0.98,0.071585156,0.97,0.12005615,0.97,0.06660006,0.3444111281633377
5,0.996,0.020740297,0.994,0.016522162,0.996,0.011698438,1.0,0.0052368585,0.04681083407998085,0.99,0.011828443,0.98,0.06794306,0.97,0.12047823,0.97,0.06535986,0.3364204116538167
0,0.975,0.10131502,0.972,0.10348336,0.973,0.11204711,0.983,0.06504702,0.38038226366043093,0.98,0.019276097,0.99,0.013599071,0.94,0.14625919,0.97,0.074723125,0.31957431487739085
1,0.984,0.03557671,0.986,0.043930683,0.978,0.05506822,0.984,0.046661507,0.18551710041426123,0.99,0.01393356,0.99,0.01689461,0.95,0.14065443,0.99,0.07288777,0.30508512780070307
2,0.993,0.017159866,0.987,0.031402238,0.987,0.034571823,0.996,0.009504488,0.09382687172293663,0.99,0.0114519475,0.99,0.019571051,0.96,0.11345092,0.98,0.07195689,0.26858871497213843
3,0.998,0.009165349,0.995,0.016754955,0.992,0.024947688,0.995,0.017265009,0.0684860094487667,1.0,0.009854566,0.99,0.020342702,0.96,0.11102433,0.98,0.07659019,0.2656433099508286
4,0.996,0.010608569,0.993,0.017528297,0.995,0.011439143,0.99,0.024383966,0.05743149814009667,1.0,0.010086221,0.99,0.023173599,0.96,0.109338336,0.98,0.06744611,0.26460470955818893
5,0.997,0.009225844,0.995,0.020079197,0.998,0.0089845825,0.999,0.00620983,0.043987595751881596,1.0,0.0055206376,0.99,0.026679628,0.96,0.09976222,0.98,0.07215171,0.25407302036881446
6,0.998,0.008690816,0.995,0.012875702,0.998,0.008154235,0.998,0.0060276473,0.036153298646211626,1.0,0.0032838115,0.99,0.026546579,0.97,0.09334592,0.98,0.06825176,0.24237727921456098
7,0.998,0.005640248,0.998,0.0076041915,0.998,0.011633933,1.0,0.0021361723,0.02556944213807583,1.0,0.005003273,0.99,0.02839141,0.97,0.09085756,0.98,0.0714005,0.24625739373266697
8,0.998,0.006100897,0.999,0.0071965796,0.999,0.007335103,0.998,0.005156356,0.025357673585414887,1.0,0.0044187834,0.99,0.03162537,0.97,0.09800861,0.98,0.074546754,0.25941532738506795
9,0.999,0.0033363197,0.999,0.007889593,0.998,0.0073291846,1.0,0.0024790724,0.021472546212375165,1.0,0.0055938098,0.99,0.029852636,0.97,0.09632556,0.98,0.07367437,0.2537186561524868
0,0.972,0.07393525,0.967,0.122827254,0.974,0.102384046,0.977,0.080215886,0.3812319407463074,0.97,0.17805889,0.96,0.062232845,0.98,0.104357876,0.95,0.107468545,0.46874324798583983
1,0.986,0.037577827,0.988,0.037325118,0.984,0.053200163,0.987,0.039747,0.1715322200357914,0.96,0.15799691,0.97,0.05645041,0.96,0.14377148,0.95,0.121369526,0.5079162895679474
2,0.99,0.02819421,0.99,0.020584177,0.989,0.03696113,0.995,0.024452668,0.10918112409114837,0.97,0.12870932,0.97,0.07058813,0.98,0.103044495,0.95,0.111960046,0.4576105272769928
3,0.988,0.023566822,0.996,0.014015468,0.988,0.02465911,0.99,0.020099653,0.08416507095471025,0.98,0.12987277,0.97,0.06277737,0.98,0.099815615,0.96,0.11516589,0.45950865805149077
4,0.994,0.010026817,0.997,0.011276423,0.994,0.015805505,0.995,0.012185224,0.05034428549557924,0.97,0.12181093,0.97,0.057147235,0.97,0.10338382,0.95,0.122014776,0.4688722789287567
5,0.996,0.012565232,0.996,0.013327677,0.996,0.013777139,0.997,0.009956503,0.047462630361318585,0.98,0.11431776,0.96,0.06045652,0.97,0.11822335,0.95,0.108066306,0.4765740531682968
0,0.972,0.099568635,0.968,0.09028821,0.972,0.09562909,0.984,0.05478311,0.34149885511398315,0.99,0.017610133,0.99,0.016725156,0.95,0.10072172,0.98,0.04438706,0.22920582662336528
1,0.99,0.041953467,0.983,0.0506334,0.982,0.041422743,0.983,0.052772056,0.18779350048303603,1.0,0.012262126,1.0,0.00894963,0.96,0.1079853,0.99,0.024813578,0.1966276559513062
2,0.988,0.02586298,0.99,0.032274086,0.987,0.037164196,0.989,0.03299718,0.12934715449810028,0.98,0.020384759,1.0,0.0064047487,0.96,0.09077603,0.98,0.026661966,0.1839582576137036
3,0.991,0.020431966,0.994,0.01762957,0.991,0.026285818,0.995,0.01115913,0.0764134466946125,0.98,0.0142088095,1.0,0.006622938,0.96,0.08444049,0.99,0.021138437,0.1612675012089312
4,0.998,0.007284086,0.997,0.013177268,0.992,0.01952037,0.998,0.010567459,0.04858069232106209,1.0,0.00893582,1.0,0.009006083,0.96,0.101646,0.99,0.01977356,0.17776274752803148
5,0.993,0.014975539,0.997,0.010473946,0.994,0.015093144,0.995,0.011973098,0.05281964972615242,0.99,0.022527995,0.98,0.043304432,0.93,0.2337627,0.97,0.0486001,0.4432939501851797
